original_language,popularity,most_popular_film
af,2.504169,Tsotsi
ar,4.892203,The Square
cn,7.876883,Ip Man 3
da,7.05145,Manderlay
de,8.010046,Isn't She Great
el,28.858238,Dogtooth
en,99.687084,Avatar
es,90.809408,Biutiful
fa,7.072118,Circumstance
fr,9.244181,Asterix at the Olympic Games
he,14.08251,Waltz with Bashir
hi,8.109958,Earth
id,8.887411,The Raid
is,1.617943,Of Horses and Men
it,88.377076,Rugrats in Paris: The Movie
ja,9.476999,Shin Godzilla
ko,9.572705,Snowpiercer
ky,0.077873,Queen of the Mountains
nb,12.982319,Troll Hunter
nl,5.013575,Black Book
no,11.205726,Dead Snow
pl,13.265432,Ida
ps,1.447734,Osama
pt,9.683622,Trash
ro,9.270133,"4 Months, 3 Weeks and 2 Days"
ru,7.744166,Solaris
sl,0.061248,Juliet and Alfa Romeo
sv,7.759215,Arn: The Knight Templar
ta,0.416179,Ramanujan
te,16.254032,Baahubali: The Beginning
th,9.029489,Ong Bak 2
tr,1.465762,Valley of the Wolves: Iraq
xx,6.537986,Quest for Fire
zh,9.950505,The Flowers of War
